Date,Open,High,Low,Close,Adj Close,Volume,USD_to_EUR,GDP,NonFarm_Payroll,3_month_Libor,Unemployment
43224,2621.449951,2670.929932,2615.320068,2663.419922,2663.419922,3327220000,1.1946,18514.595,149345,2.36906,5756
43223,2628.080078,2637.139893,2594.620117,2629.72998,2629.72998,3851470000,1.197,18514.595,149345,2.36313,5756
43222,2654.23999,2660.870117,2631.699951,2635.669922,2635.669922,4010770000,1.1968,18514.595,149345,2.36294,5756
43221,2642.959961,2655.27002,2625.409912,2654.800049,2654.800049,3559850000,1.2,18514.595,149345,2.35375,5756
43220,2682.51001,2682.870117,2648.040039,2648.050049,2648.050049,3734530000,1.2074,18514.595,148372,2.36294,5932
43217,2675.469971,2677.350098,2659.01001,2669.909912,2669.909912,3219030000,1.2108,18514.595,148372,2.35805,5932
43216,2651.649902,2676.47998,2647.159912,2666.939941,2666.939941,3665720000,1.2113,18514.595,148372,2.35878,5932
43215,2634.919922,2645.300049,2612.669922,2639.399902,2639.399902,3499440000,1.2178,18514.595,148372,2.36561,5932
43214,2680.800049,2683.550049,2617.320068,2634.560059,2634.560059,3706740000,1.2226,18514.595,148372,2.36167,5932
43213,2675.399902,2682.860107,2657.98999,2670.290039,2670.290039,3017480000,1.2216,18514.595,148372,2.35954,5932
43210,2692.560059,2693.939941,2660.610107,2670.139893,2670.139893,3388590000,1.2282,18514.595,148372,2.35923,5932
43209,2701.159912,2702.840088,2681.899902,2693.129883,2693.129883,3349370000,1.2336,18514.595,148372,2.36156,5932
43208,2710.110107,2717.48999,2703.629883,2708.639893,2708.639893,3383410000,1.238,18514.595,148372,2.35866,5932
43207,2692.73999,2713.340088,2692.050049,2706.389893,2706.389893,3234360000,1.2345,18514.595,148372,2.35539,5932
43206,2670.100098,2686.48999,2665.159912,2677.840088,2677.840088,3019700000,1.2373,18514.595,148372,2.35509,5932
43203,2676.899902,2680.26001,2645.050049,2656.300049,2656.300049,2960910000,1.2322,18514.595,148372,2.35281,5932
43202,2653.830078,2674.719971,2653.830078,2663.98999,2663.98999,3021320000,1.232,18514.595,148372,2.34769,5932
43201,2643.889893,2661.429932,2639.25,2642.189941,2642.189941,3020760000,1.2384,18514.595,148372,2.34163,5932
43200,2638.409912,2665.449951,2635.780029,2656.870117,2656.870117,3543930000,1.2338,18514.595,148372,2.33903,5932
43199,2617.179932,2653.550049,2610.790039,2613.159912,2613.159912,3062960000,1.232,18514.595,148372,2.3373,5932
43196,2645.820068,2656.879883,2586.27002,2604.469971,2604.469971,3299700000,1.2274,18514.595,148372,2.33746,5932
43195,2657.360107,2672.080078,2649.580078,2662.840088,2662.840088,3178970000,1.223,18514.595,148372,2.33063,5932
43194,2584.040039,2649.860107,2573.610107,2644.689941,2644.689941,3350340000,1.2292,18514.595,148372,2.32461,5932
43193,2592.169922,2619.139893,2575.48999,2614.449951,2614.449951,3392810000,1.2261,18514.595,148372,2.32084,5932
43192,2633.449951,2638.300049,2553.800049,2581.879883,2581.879883,3598520000,1.2288,18514.595,148372,2.31175,5932
43188,2614.409912,2659.070068,2609.719971,2640.870117,2640.870117,3565990000,1.2297,18323.963,147384,2.31175,6671
43187,2611.300049,2632.649902,2593.060059,2605,2605,3864500000,1.2351,18323.963,147384,2.308,6671
43186,2667.570068,2674.780029,2596.120117,2612.620117,2612.620117,3706350000,1.241,18323.963,147384,2.302,6671
43185,2619.350098,2661.360107,2601.810059,2658.550049,2658.550049,3511100000,1.244,18323.963,147384,2.29496,6671
43182,2646.709961,2657.669922,2585.889893,2588.26001,2588.26001,3815080000,1.236,18323.963,147384,2.29155,6671
43181,2691.360107,2695.679932,2641.590088,2643.689941,2643.689941,3739800000,1.231,18323.963,147384,2.28557,6671
43180,2714.98999,2739.139893,2709.790039,2711.929932,2711.929932,3415510000,1.2268,18323.963,147384,2.27108,6671
43179,2715.050049,2724.219971,2710.050049,2716.939941,2716.939941,3261030000,1.2271,18323.963,147384,2.24814,6671
43178,2741.379883,2741.379883,2694.590088,2712.919922,2712.919922,3302130000,1.2329,18323.963,147384,2.22249,6671
43175,2750.570068,2761.850098,2749.969971,2752.01001,2752.01001,5372340000,1.228,18323.963,147384,2.20175,6671
43174,2754.27002,2763.030029,2741.469971,2747.330078,2747.330078,3500330000,1.2321,18323.963,147384,2.1775,6671
43173,2774.060059,2777.110107,2744.379883,2749.47998,2749.47998,3391360000,1.2362,18323.963,147384,2.145,6671
43172,2792.310059,2801.899902,2758.679932,2765.310059,2765.310059,3301650000,1.2398,18323.963,147384,2.1245,6671
43171,2790.540039,2796.97998,2779.26001,2783.02002,2783.02002,3185020000,1.2318,18323.963,147384,2.10688,6671
43168,2752.909912,2786.570068,2751.540039,2786.570068,2786.570068,3364100000,1.2326,18323.963,147384,2.08875,6671
43167,2732.75,2740.449951,2722.649902,2738.969971,2738.969971,3212320000,1.2314,18323.963,147384,2.0714,6671
43166,2710.179932,2730.600098,2701.73999,2726.800049,2726.800049,3393270000,1.2397,18323.963,147384,2.05725,6671
43165,2730.179932,2732.080078,2711.26001,2728.120117,2728.120117,3370690000,1.2415,18323.963,147384,2.04728,6671
43164,2681.060059,2728.090088,2675.75,2720.939941,2720.939941,3710810000,1.233,18323.963,147384,2.0349,6671
43161,2658.889893,2696.25,2647.320068,2691.25,2691.25,3882450000,1.2314,18323.963,147384,2.02519,6671
43160,2715.219971,2730.889893,2659.649902,2677.669922,2677.669922,4503970000,1.2216,18323.963,147384,2.02457,6671
43159,2753.780029,2761.52002,2713.540039,2713.830078,2713.830078,4230660000,1.2211,18323.963,146674,2.01719,7091
43158,2780.449951,2789.149902,2744.219971,2744.280029,2744.280029,3745080000,1.2239,18323.963,146674,2.00625,7091
43157,2757.370117,2780.639893,2753.780029,2779.600098,2779.600098,3424650000,1.2296,18323.963,146674,1.98419,7091
43154,2715.800049,2747.76001,2713.73999,2747.300049,2747.300049,3189190000,1.2298,18323.963,146674,1.95625,7091
43153,2710.419922,2731.26001,2697.77002,2703.959961,2703.959961,3701270000,1.2326,18323.963,146674,1.94363,7091
43152,2720.530029,2747.75,2701.290039,2701.330078,2701.330078,3779400000,1.2314,18323.963,146674,1.91975,7091
43151,2722.98999,2737.600098,2706.76001,2716.26001,2716.26001,3627610000,1.2348,18323.963,146674,1.90394,7091
43147,2727.139893,2754.419922,2725.110107,2732.219971,2732.219971,3637460000,1.2442,18323.963,146674,1.88494,7091
43146,2713.459961,2731.51001,2689.820068,2731.199951,2731.199951,3684910000,1.2482,18323.963,146674,1.8725,7091
43145,2651.209961,2702.100098,2648.870117,2698.629883,2698.629883,4003740000,1.2396,18323.963,146674,1.85,7091
43144,2646.27002,2668.840088,2637.080078,2662.939941,2662.939941,3472870000,1.2363,18323.963,146674,1.83875,7091
43143,2636.75,2672.610107,2622.449951,2656,2656,4055790000,1.2267,18323.963,146674,1.83338,7091
43140,2601.780029,2638.669922,2532.689941,2619.550049,2619.550049,5680070000,1.2226,18323.963,146674,1.82,7091
43139,2685.01001,2685.27002,2580.560059,2581,2581,5305440000,1.2238,18323.963,146674,1.8105,7091
43138,2690.949951,2727.669922,2681.330078,2681.659912,2681.659912,4626570000,1.2281,18323.963,146674,1.79989,7091
43137,2614.780029,2701.040039,2593.070068,2695.139893,2695.139893,5891660000,1.2381,18323.963,146674,1.7907,7091
43136,2741.060059,2763.389893,2638.169922,2648.939941,2648.939941,5283460000,1.2418,18323.963,146674,1.79345,7091
43133,2808.919922,2808.919922,2759.969971,2762.129883,2762.129883,4301130000,1.2446,18323.963,146674,1.78902,7091
43132,2816.449951,2835.959961,2812.699951,2821.97998,2821.97998,3938450000,1.2482,18323.963,146674,1.78698,7091
43131,2832.409912,2839.26001,2813.040039,2823.810059,2823.810059,4261280000,1.2428,18323.963,145435,1.77777,7189
43130,2832.73999,2837.75,2818.27002,2822.429932,2822.429932,3990650000,1.239,18323.963,145435,1.7734,7189
43129,2867.22998,2870.620117,2851.47998,2853.530029,2853.530029,3573830000,1.2352,18323.963,145435,1.77225,7189
43126,2847.47998,2872.870117,2846.179932,2872.870117,2872.870117,3443230000,1.2422,18323.963,145435,1.7669,7189
43125,2846.23999,2848.560059,2830.939941,2839.25,2839.25,3835150000,1.2488,18323.963,145435,1.76031,7189
43124,2845.419922,2852.969971,2824.810059,2837.540039,2837.540039,4014070000,1.239,18323.963,145435,1.75246,7189
43123,2835.050049,2842.23999,2830.590088,2839.129883,2839.129883,3519650000,1.2277,18323.963,145435,1.7452,7189
43122,2809.159912,2833.030029,2808.120117,2832.969971,2832.969971,3471780000,1.223,18323.963,145435,1.7413,7189
43119,2802.600098,2810.330078,2798.080078,2810.300049,2810.300049,3639430000,1.2238,18323.963,145435,1.74447,7189
43118,2802.399902,2805.830078,2792.560059,2798.030029,2798.030029,3681470000,1.2238,18323.963,145435,1.7447,7189
43117,2784.98999,2807.040039,2778.379883,2802.560059,2802.560059,3778050000,1.2229,18323.963,145435,1.73918,7189
43116,2798.959961,2807.540039,2768.639893,2776.419922,2776.419922,4325970000,1.2244,18323.963,145435,1.73408,7189
43112,2770.179932,2787.850098,2769.639893,2786.23999,2786.23999,3573970000,1.213,18323.963,145435,1.72152,7189
43111,2752.969971,2767.560059,2752.780029,2767.560059,2767.560059,3641320000,1.2035,18323.963,145435,1.72019,7189
43110,2745.550049,2750.800049,2736.060059,2748.22998,2748.22998,3576350000,1.1958,18323.963,145435,1.70911,7189
43109,2751.149902,2759.139893,2747.860107,2751.290039,2751.290039,3453480000,1.1922,18323.963,145435,1.70457,7189
43108,2742.669922,2748.51001,2737.600098,2747.709961,2747.709961,3242650000,1.1973,18323.963,145435,1.70802,7189
43105,2731.330078,2743.449951,2727.919922,2743.149902,2743.149902,3236620000,1.2039,18323.963,145435,1.70393,7189
43104,2719.310059,2729.290039,2719.070068,2723.98999,2723.98999,3695260000,1.2064,18323.963,145435,1.70381,7189
43103,2697.850098,2714.370117,2697.77002,2713.060059,2713.060059,3538660000,1.203,18323.963,145435,1.69593,7189
43102,2683.72998,2695.889893,2682.360107,2695.810059,2695.810059,3367250000,1.205,18323.963,145435,1.69693,7189
43098,2689.149902,2692.120117,2673.610107,2673.610107,2673.610107,2443490000,1.2022,18223.758,148530,1.69428,6278
43097,2686.100098,2687.659912,2682.689941,2687.540039,2687.540039,2153330000,1.1952,18223.758,148530,1.69465,6278
43096,2682.100098,2685.639893,2678.909912,2682.620117,2682.620117,2202080000,1.1902,18223.758,148530,1.69339,6278
43095,2679.090088,2682.73999,2677.959961,2680.5,2680.5,1968780000,1.1867,18223.758,148530,1.68577,6278
43091,2684.219971,2685.350098,2678.129883,2683.340088,2683.340088,2399830000,1.1839,18223.758,148530,1.68577,6278
43090,2683.02002,2692.639893,2682.399902,2684.570068,2684.570068,3273390000,1.1872,18223.758,148530,1.67464,6278
43089,2688.179932,2691.01001,2676.110107,2679.25,2679.25,3241030000,1.1881,18223.758,148530,1.65793,6278
