Date,Open,High,Low,Close,Adj Close,Volume,USD to EUR,GDP,NonFarm Payroll,3 month Libor,Unemployment,MILKBFP3,LC1,O 1,LH1,KC1,C1,BCOMXAL,VIX,DJUS,DJUSRE,DJUSCL,DL1,NG1,CO1,S1
4/27/2018,2675.469971,2677.350098,2659.01001,2669.909912,2669.909912,3219030000,1.2108,18514.595,148372,2.35805,5932,14.47,104.85,236,73.5,123.75,405,109.6306,15.97,659.07,300.87,54.7,1.454,2.754,73.36,1043
4/26/2018,2651.649902,2676.47998,2647.159912,2666.939941,2666.939941,3665720000,1.2113,18514.595,148372,2.35878,5932,14.47,105.825,237.75,73.9,124.8,405.75,109.1301,15.49,663.41,301.87,53.86,1.45,2.802,73.13,1053.25
4/25/2018,2634.919922,2645.300049,2612.669922,2639.399902,2639.399902,3499440000,1.2178,18514.595,148372,2.36561,5932,14.47,106.1,225.5,66.3,120.65,392.5,110.313,15.93,661.71,299.87,54.89,1.445,2.763,75.17,1037.75
4/24/2018,2680.800049,2683.550049,2617.320068,2634.560059,2634.560059,3706740000,1.2226,18514.595,148372,2.36167,5932,14.22,107,221.5,66.1,120.35,389.5,110.0722,15.41,667.11,300.8,54.47,1.448,2.771,74.64,1045
4/23/2018,2675.399902,2682.860107,2657.98999,2670.290039,2670.290039,3017480000,1.2216,18514.595,148372,2.35954,5932,14.22,104.35,220.75,67.325,117.6,386,110.9284,16.24,666.65,296.91,56.93,1.465,2.821,74.74,1028
4/20/2018,2692.560059,2693.939941,2660.610107,2670.139893,2670.139893,3388590000,1.2282,18514.595,148372,2.35923,5932,14.22,105.575,222.75,68.55,116.85,386.5,110.5197,17.84,660.14,293.52,57.39,1.472,2.786,74,1027.5
4/19/2018,2701.159912,2702.840088,2681.899902,2693.129883,2693.129883,3349370000,1.2336,18514.595,148372,2.36156,5932,14.22,105.05,224.25,67.45,118.5,381.25,110.6894,18.02,659.26,294.24,56.79,1.468,2.781,73.86,1022.25
4/18/2018,2710.110107,2717.48999,2703.629883,2708.639893,2708.639893,3383410000,1.238,18514.595,148372,2.35866,5932,14.22,104.875,226.75,68,117,378.5,111.0661,16.34,667.81,293.33,59.11,1.49,2.74,74.71,1020.75
4/17/2018,2692.73999,2713.340088,2692.050049,2706.389893,2706.389893,3234360000,1.2345,18514.595,148372,2.35539,5932,14.22,103.725,232.5,69.95,115.75,376.5,112.0591,16.88,667.85,293.25,59.18,1.499,2.739,74.06,1028.75
4/16/2018,2670.100098,2686.48999,2665.159912,2677.840088,2677.840088,3019700000,1.2373,18514.595,148372,2.35509,5932,14.22,103,234.5,70.15,114.25,382,111.9004,15.96,673.38,295.66,60.93,1.508,2.66,73.78,1037.25
4/13/2018,2676.899902,2680.26001,2645.050049,2656.300049,2656.300049,2960910000,1.2322,18514.595,148372,2.35281,5932,14.22,105.275,236,69.85,114.9,383,112.6073,15.6,677.21,299.93,60.47,1.502,2.739,73.48,1041.75
4/12/2018,2653.830078,2674.719971,2653.830078,2663.98999,2663.98999,3021320000,1.232,18514.595,148372,2.34769,5932,14.22,104.9,228.75,67.9,113.55,380.25,110.129,15.25,676.44,300.52,56.53,1.475,2.738,71.58,1046
4/11/2018,2643.889893,2661.429932,2639.25,2642.189941,2642.189941,3020760000,1.2384,18514.595,148372,2.34163,5932,14.22,104.175,230.5,68.175,114.25,382.5,110.1238,16.56,669.32,297.02,53.35,1.473,2.752,71.42,1042
4/10/2018,2638.409912,2665.449951,2635.780029,2656.870117,2656.870117,3543930000,1.2338,18514.595,148372,2.33903,5932,14.22,103.65,234.25,69.7,117.3,386.25,109.9079,17.41,663.88,295.3,55.01,1.488,2.735,72.58,1054.25
